instance_id,dataset,model,ground_truth_label,predicted_label,confidence,correct,model_refused,prompt_tokens,response_tokens,prompt_hash,jaccard_H_R,jaccard_H_CF,jaccard_H_RO,jaccard_R_CF,jaccard_R_RO,jaccard_CF_RO,overlap_H_R,overlap_H_CF,overlap_H_RO,overlap_R_CF,overlap_R_RO,overlap_CF_RO,rbo_H_RO,kendall_H_RO,normalized_kendall_H_RO,ecs,ecs_overlap,ecs_random,ecs_lift,ecs_random_weighted,ecs_lift_weighted,ecs_extraction_rationale,ecs_extraction_perturbation,ecs_primary_pairs,ecs_adj,ecs_adj_er,ecs_adj_ep,ecs_adj_rp,ecs_adj_n_components,ecs_adj_complete,n_degenerate_pairs,cf_flip_verified,cf_valid_first_attempt,cf_corrected,ro_self_corrected,cf_actual_label,highlighting_parsed,rationale_parsed,counterfactual_parsed,rank_ordering_parsed,cc3_size,cc4_size
sst2_validation_000665,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.9,True,False,1614,677,3c96c3fc1045fafc,0.6,,0.6,,0.6,,0.75,,0.75,,0.75,,0.23804099999999995,,,0.6,0.75,0.28003333333333597,0.319966666666664,0.27197142857143103,0.32802857142856895,0.6,,2,0.4515948517067711,0.4515948517067711,,,1,False,0,False,False,False,False,,True,True,False,True,3,3
sst2_validation_000657,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,970,282,b68aba988a2aa373,0.6,,1.0,,0.6,,1.0,,1.0,,1.0,,0.28067499999999995,,,0.6,1.0,0.38741904761905555,0.21258095238094443,0.3904285714285797,0.2095714285714203,0.6,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,3,3
sst2_validation_000361,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1356,446,53ae850b6f80a8dd,0.5,0.3333333333333333,0.4,0.2,0.375,0.4,1.0,0.5,0.6666666666666666,0.5,1.0,0.6666666666666666,0.23544999999999994,,,0.36166666666666664,0.7333333333333333,0.2724624747474771,0.08920419191918955,0.2743136688311712,0.08735299783549544,0.4375,0.3666666666666667,4,0.16209381640268525,1.0,0.23934004547334897,-0.7530585962652933,3,True,0,True,True,False,True,positive,True,True,True,True,2,2
sst2_validation_000394,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.9,True,False,1450,585,67a8763d00facc6b,0.2857142857142857,0.2857142857142857,0.5,0.3333333333333333,0.4,0.4,1.0,1.0,0.8,0.5,1.0,1.0,0.3347750571428571,0.6666666666666669,0.8333333333333335,0.3409523809523809,0.9,0.09387380952380926,0.24707857142857165,0.09853285714285677,0.24241952380952414,0.34285714285714286,0.34285714285714286,4,0.7594339622641509,1.0,1.0,0.2783018867924528,3,True,0,True,True,False,False,negative,True,True,True,True,3,1
sst2_validation_000228,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.85,True,False,956,300,121db9f475afa812,0.4,,0.5,,0.4,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,0.13545,,,0.4,0.6666666666666666,0.29554583333332946,0.10445416666667057,0.29969583333332894,0.10030416666667108,0.4,,2,0.22834645669291334,0.22834645669291334,,,1,False,0,False,False,False,False,,True,True,False,True,1,1
sst2_validation_000188,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,982,287,6c16dd54d427ba05,,,0.5,,,,,,0.6666666666666666,,,,0.24399999999999994,,,,,,,,,,,0,,,,,0,False,0,False,False,False,False,,True,False,False,True,0,0
sst2_validation_000513,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.8,True,False,1363,496,66ffc0207e802d03,0.125,0.375,0.375,0.0,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.6,0.6,0.0,0.3333333333333333,0.6,0.10099349999999999,,,0.21428571428571427,0.37333333333333335,0.1721383333333336,0.042147380952380686,0.17654817460317504,0.037737539682539234,0.13392857142857142,0.4017857142857143,4,-0.032921187519592277,-0.046778837292016526,0.2706019663920962,-0.3225866916588565,3,True,0,True,True,False,False,positive,True,True,True,True,3,0
sst2_validation_000010,sst2,eu.amazon.nova-pro-v1:0,positive,positive,0.95,True,False,958,316,d9ae1018167dba5e,0.6,,0.5,,0.6,,1.0,,0.6666666666666666,,1.0,,0.2986749999999999,,,0.6,1.0,0.33025000000000415,0.2697499999999958,0.3315857142857179,0.26841428571428205,0.6,,2,1.0,1.0,,,1,False,0,False,False,False,False,,True,True,False,True,2,2
sst2_validation_000529,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.95,True,False,1173,442,b04c96a0a49e1956,0.375,0.4444444444444444,0.6666666666666666,0.75,0.5714285714285714,0.625,0.6,0.8,0.8,1.0,0.8,1.0,0.3511629999999999,1.0,1.0,0.5531746031746032,0.8400000000000001,0.2451684423909449,0.3080061607836583,0.2500443187368208,0.3031302844377824,0.4732142857142857,0.5347222222222222,4,0.7248183942572771,0.41432408712534236,0.7601310956464891,1.0,3,True,0,True,True,False,False,positive,True,True,True,True,5,3
sst2_validation_000007,sst2,eu.amazon.nova-pro-v1:0,negative,negative,0.9,True,False,1458,327,bed5ce4a26311b72,0.2,,1.0,,0.2,,0.3333333333333333,,1.0,,0.3333333333333333,,0.27099999999999996,,,0.2,0.3333333333333333,0.62975,-0.42975,0.65,-0.45,0.2,,2,-1.1333333333333333,-1.1333333333333333,,,1,False,0,False,False,False,True,negative,True,True,False,True,1,1
